ponto,j1,gn,gn1,ot,op
0.1,9.402604285998677,4.683035114001541,4.71738090000872,0.0011090699990745634,0.000871136988280341
0.5061224489795918,13.300970773998415,6.663594691010076,6.634215639001923,0.0016010550025384873,0.001276094997592736
0.9122448979591836,15.40126388399949,7.706780619009805,7.690852384999744,0.0017624700194573961,0.0015073680042405613
1.3183673469387756,17.619120782997925,8.815258392998658,8.799787187992479,0.001999881016672589,0.0017018779981299303
1.7244897959183674,19.907138479000423,9.936754499001836,9.965777528988838,0.002255418003187515,0.0019237969754613005
2.1306122448979594,22.181238875004055,11.111140373002854,11.064851864000957,0.0025566109907231294,0.0022295299932011403
2.536734693877551,24.407693172004656,12.153312051996181,12.248743706004461,0.0027486330072861165,0.0023533909843536094
2.9428571428571426,24.295107780999388,12.1600902789869,12.129089110989298,0.0029370550109888427,0.0024805479843053035
3.3489795918367347,26.44878945399978,13.240611702014576,13.201885743001185,0.003200970015313942,0.0025155160037684254
3.7551020408163267,29.40335286699701,14.392374892006046,15.003606047001085,0.0036716649919981137,0.003078239009482786
4.161224489795918,37.50177764700493,18.83743167200737,18.657367343985243,0.003476256002613809,0.0028567209956236184
4.5673469387755095,37.05518296199443,18.290598353007226,18.756862944988825,0.00390991000313079,0.0030999470109236427
4.9734693877551015,38.65611107899895,19.09786827901553,19.549950738990447,0.00406175301031908,0.003469212999334559
5.3795918367346935,39.52652764099912,19.70612773400353,19.81156389798707,0.004688543012889568,0.0033457500030635856
5.785714285714285,41.79920647900144,20.834315512001922,20.954574423012673,0.005230176015174948,0.004138671007240191
6.191836734693877,42.22776335699746,21.14191363601276,21.076280081986624,0.004932832001941279,0.0038180789997568354
6.597959183673469,44.04553737900278,21.98766732000513,22.047118161986873,0.005644108998239972,0.0042087110196007416
7.004081632653061,42.57514107800671,21.297258765982406,21.267299772014667,0.005396292996010743,0.004297373998269904
7.410204081632653,46.32823417000327,23.10825830599788,23.20938039499015,0.005520179991435725,0.004116637006518431
7.816326530612244,47.28048731900344,23.395153071003733,23.8736238620113,0.00629726499755634,0.004426895990036428
8.222448979591837,48.14726938199601,24.06537784599641,24.070035450982687,0.006229838996659964,0.00466066000808496
8.628571428571428,46.617119964001176,23.232108657990466,23.37327459399239,0.0061725200357614085,0.00457978301710682
9.03469387755102,49.11467567100044,24.47154950397089,24.63082951703109,0.006567260010342579,0.004690099980507512
9.440816326530612,51.424221897999814,25.652466202009236,25.75838978700631,0.0071913089996087365,0.005112933999043889
9.846938775510203,51.671490098000504,25.888455745996907,25.769309771989356,0.007012035988736898,0.00565580800321186
10.253061224489795,53.98626401399815,26.96368622699083,27.00951092500327,0.0070121399985509925,0.004904296984022949
10.659183673469387,53.877464227996825,26.96398874499573,26.900296454019553,0.007030936016235501,0.0050288629936403595
11.065306122448979,56.63466459200572,28.234972343016125,28.386676328984322,0.0069774609874002635,0.004921452018606942
11.47142857142857,56.48076090099494,28.36241851500381,28.105130662013835,0.0069108330135350116,0.0051500600020517595
11.877551020408163,59.13862998800323,29.53281101302855,29.59158649699384,0.0075636219917214476,0.005464480978844222
12.283673469387754,59.1050855029971,29.518855992981116,29.571898152018548,0.007700366004428361,0.005426124997029547
12.689795918367347,61.30421848699916,30.631722492005792,30.657914636998612,0.007878756994614378,0.0054340839851647615
13.095918367346938,61.35829285199725,30.64651655700436,30.6968445349994,0.007874786992033478,0.0058272520182072185
13.502040816326529,63.91432432799775,31.908699641026033,31.990139843008365,0.008495506997860502,0.005770277006377
13.908163265306122,65.09939584300446,32.53185701800976,32.55185038498166,0.008377598984225187,0.006002289010211825
14.314285714285713,66.43243639999855,33.18835884397413,33.228484194987686,0.008177659983630292,0.006099496007664129
14.720408163265306,67.41024799099978,33.644057556019106,33.74974948899762,0.008603815011156257,0.006449744018027559
15.126530612244897,68.86720306100324,34.41111406901473,34.43850448599551,0.009218087026965804,0.006881935994897503
15.532653061224488,68.5419072759978,34.32771580602275,34.197512574995926,0.008831802995700855,0.006474016998254228
15.938775510204081,72.12571372899401,36.0933471380049,36.014937214989914,0.00906008000310976,0.006884667978738435
16.344897959183676,72.0383031990059,36.07547333397815,35.944334010986495,0.009769274009158835,0.007237351965159178
16.751020408163267,73.92512856199755,37.0132382350057,36.894045616994845,0.009392284002387896,0.00692036601685686
17.15714285714286,73.66764348300057,36.71940838102455,36.93034371999238,0.009438194021640811,0.006939252023585141
17.56326530612245,76.13411292099772,38.134006597989355,37.98122813898226,0.00998708799306769,0.007370742998318747
17.96938775510204,77.3053710489985,38.605619023037434,38.68062032300077,0.010077165999973658,0.007495621008274611
18.375510204081632,80.47530754100444,40.217808308014355,40.238186858994595,0.010115482014953159,0.007628787003341131
18.781632653061227,79.1294096299971,39.555059747021005,39.5543316859912,0.010361851971538272,0.008048440002312418
19.187755102040818,81.68195798499801,40.70477252500859,40.95868544901168,0.009597855008905753,0.007186456001363695
19.59387755102041,82.49994314200012,41.12022079300368,41.35945643099694,0.010856567983864807,0.007771549993776716
20.0,82.50949834300263,41.26703576299042,41.221499970997684,0.011425638986111153,0.00787203700747341
media,51.59962623054002,25.764845357664015,25.822316388797628,0.006538159282208653,0.004872088559786789
