execucao,tempo
1,8711.271825098986
2,8723.543889135006
3,8699.930061445979
4,8708.173101172026
5,8680.555502049043
6,8724.691765116993
7,8694.079691311985
8,8700.18207260297
9,8692.992133416003
10,8700.452257056953
