ponto,n_max,j1,gn,gn1,ot,op
0.1,4,11.517902802006574,5.982378764019813,5.5314148839970585,0.002512136969016865,0.0011502139968797565
10.049999999999999,21,57.398173399007646,28.613495245954255,28.770034847955685,0.00776938401395455,0.0057054020871873945
20.0,33,89.66390951204812,44.78203110804316,44.8606653669558,0.011338143958710134,0.00817759512574412
media,,52.85999523768745,26.459301706005743,26.38737169963618,0.007206554980560516,0.005011070403270423
