execucao,ponto,z,n_max,j1,gn,n,qnt_q_values,Aq,pi_tau,frac_exp,ops_gn,gn1,ot,op
0,20.0,l2,33,86.84028765597031,43.422063308011275,12,151,1.2707725319487508,0.00489859891240485,0.005329362058546394,0.005307305109454319,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,13,151,1.2942433750722557,0.0051108558545820415,0.005442679248517379,0.005449762858916074,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,14,151,1.3124954900995363,0.005340240866644308,0.005689427081961185,0.005654695210978389,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,15,151,1.2760697799385525,0.005276128824334592,0.005543825915083289,0.005532875889912248,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,16,151,1.2864996019634418,0.005177458660909906,0.005470389995025471,0.005447593837743625,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,17,151,1.316639012977248,0.005410467856563628,0.005668074853019789,0.005668657919159159,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,18,151,1.3187124147079885,0.005420958943432197,0.00562076989444904,0.005651215149555355,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,19,151,1.3103381050750613,0.0053810230165254325,0.005609509040368721,0.005585910985246301,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,20,151,1.275651014962932,0.005107389995828271,0.005408334982348606,0.005397231783717871,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,21,151,1.2761682059208397,0.005199798964895308,0.005433929909486324,0.005348374921595678,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,22,151,1.275858525885269,0.00530431282822974,0.005554831033805385,0.00540962687227875,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,23,151,1.2649520100385416,0.005214584933128208,0.005441679066279903,0.005354979948606342,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,24,151,1.2639661908324342,0.0050502938975114375,0.005256554955849424,0.005193353863433003,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,25,151,1.2839109920023475,0.005392057239077985,0.005536602024221793,0.005458581610582769,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,26,151,1.2733139561023563,0.005340947973309085,0.00554275800823234,0.005467022943776101,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,27,151,1.293055291956989,0.005591371125774458,0.005642965901643038,0.00564599470817484,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,28,151,1.2768788762041368,0.005349544924683869,0.00552284691366367,0.005455147824250162,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,29,151,1.314742971182568,0.005597426032181829,0.005694352992577478,0.00567480010795407,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,30,151,1.3121439152746461,0.00555041796178557,0.005647084908559918,0.00566404007258825,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,31,151,1.2997786550840829,0.0055973202688619494,0.005675876949680969,0.005628665239783004,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,32,151,1.3180418318952434,0.005642673932015896,0.005754952988354489,0.005766309972386807,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,33,151,1.3273183758428786,0.005651781830238178,0.005738695908803493,0.0057216903660446405,43.40005992009537,0.008938221988501027,0.0078942880500108
