execucao,valor_de_j1,valor_de_j1_serial,ponto,z,n_max,j1,gn,n,qnt_q_values,Aq,pi_tau,frac_exp,ops_gn,gn1,ot,op
0,-2.33123019077198e-6,-4.03477925873248e-6,0.1,l2,4,0.19229238198022358,0.0937778239895124,1,151,0.010228069935692474,0.004074522003065795,0.0047123148397076875,0.004886821086984128,0.09664911299478263,0.0009276599739678204,0.0007839769532438368
0,-2.33123019077198e-6,-4.03477925873248e-6,0.1,l2,4,0.19229238198022358,0.0937778239895124,2,151,0.01019209818332456,0.003984486887929961,0.004641536012059078,0.005073319713119417,0.09664911299478263,0.0009276599739678204,0.0007839769532438368
0,-2.33123019077198e-6,-4.03477925873248e-6,0.1,l2,4,0.19229238198022358,0.0937778239895124,3,151,0.009432302147615701,0.003681790141854435,0.004440460907062516,0.004749758925754577,0.09664911299478263,0.0009276599739678204,0.0007839769532438368
0,-2.33123019077198e-6,-4.03477925873248e-6,0.1,l2,4,0.19229238198022358,0.0937778239895124,4,151,0.009492521872743964,0.0037206387787591666,0.0043451809615362436,0.004728450934635475,0.09664911299478263,0.0009276599739678204,0.0007839769532438368
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,1,151,0.00935588584979996,0.003632179112173617,0.004347780981333926,0.004619669896783307,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,2,151,0.007663879456231371,0.0030072548834141344,0.003608409722801298,0.003754560137167573,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,3,151,0.007547072018496692,0.0028767689072992653,0.003501661994960159,0.00362112806760706,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,4,151,0.007526197005063295,0.0028789372299797833,0.003468962066108361,0.0035985661088488996,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,5,151,0.007524303160607815,0.0028965368401259184,0.0035383791546337306,0.0036257299943827093,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,6,151,0.007544160034740344,0.0029132157505955547,0.0034684879356063902,0.0035792086564470083,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,7,151,0.007556441065389663,0.002921266161138192,0.003484020387986675,0.0036396587966009974,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,8,151,0.0075522200495470315,0.0029526808648370206,0.0034970990382134914,0.003603385470341891,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,9,151,0.007562729122582823,0.0029715589189436287,0.0034759259433485568,0.0035775838186964393,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,10,151,0.007654277083929628,0.0029736598662566394,0.003550111927324906,0.003658179979538545,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,11,151,0.0076457760005723685,0.0029841787763871253,0.0035384877119213343,0.0036716700706165284,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,12,151,0.007614057045429945,0.003014391812030226,0.0035354951105546206,0.003656734828837216,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,13,151,0.007829529204173014,0.0030853628704790026,0.0036436220398172736,0.0038541668036486953,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,14,151,0.007659661117941141,0.003050238825380802,0.003556690237019211,0.0037195848126430064,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,15,151,0.007601535995490849,0.00305071086040698,0.003535659605404362,0.0036856119986623526,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,16,151,0.008411237096879631,0.003298272000392899,0.0038323540065903217,0.003986145951785147,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,17,151,0.007595335977384821,0.0030957958952058107,0.0035194220836274326,0.003660991962533444,0.38252275198465213,0.0046110050461720675,0.003825876978226006
0,-0.00193181975732548,-0.00372387965433325,10.049999999999999,l2,21,0.7792718520795461,0.38773922200198285,18,151,0.007772249984554946,0.003136121522402391,0.0035865888348780572,0.0037416270934045315,0.38252275198465213,0.0046110050461720675,0.003825876978226006
