ponto,z,n_max,j1,gn,gn1,ot,op
0.1,l2,4,6.5070575200006715,3.2582767180065275,3.2449236549873604,0.0014390990108950064,0.0017420789881725796
0.1,l4,4,6.424707389000105,3.2148296830055187,3.206293442999595,0.0013269190021674149,0.001597713002411183
0.5061224489795918,l2,6,12.208333317001234,6.404614415005199,5.797236441998393,0.00255000500328606,0.0028827440037275665
0.5061224489795918,l4,6,10.112837719992967,5.103339663000952,5.004407683984027,0.0018178429963882081,0.0022798160134698264
0.9122448979591836,l2,7,11.120583125004487,5.56371126898739,5.551208304008469,0.001997732004383579,0.0025212010004906915
0.9122448979591836,l4,7,11.299648029998934,5.617181255001924,5.676757422988885,0.0019240650071878918,0.002646016000653617
1.3183673469387756,l2,8,12.868340404995251,6.405846000991005,6.456224426001427,0.0023251700040418655,0.002655831995070912
1.3183673469387756,l4,8,13.348211189986614,6.555607879992749,6.785675674007507,0.0024828469977364875,0.00309308800206054
1.7244897959183674,l2,9,14.619388188002631,7.382494803983718,7.228720487008104,0.003128272990579717,0.003566360981494654
1.7244897959183674,l4,9,14.45334851500229,7.252704051999899,7.192670605996682,0.003024059005838353,0.0034810069846571423
2.1306122448979594,l2,10,16.2796023189876,8.106627584005764,8.165261732989165,0.002750117979303468,0.0032901740123634227
2.1306122448979594,l4,10,16.202518768994196,8.093631786003243,8.100612032991194,0.0028694700085907243,0.003793354000663385
2.536734693877551,l2,11,17.95304712199868,8.86614707998524,9.076931718016567,0.003667290984594729,0.004517642009886913
2.536734693877551,l4,11,17.873940217999916,8.97147223300999,8.893904926982941,0.0031497250020038337,0.003596849004679825
2.9428571428571426,l2,11,17.824638500984292,8.861252378002973,8.953578684013337,0.0036162230098852888,0.004433659996720962
2.9428571428571426,l4,11,17.77814046999265,8.849418313002388,8.919613082995056,0.0034826890114345588,0.0038551449979422614
3.3489795918367347,l2,12,19.40216873001191,9.74185952800326,9.650135157993645,0.003520436010148842,0.004744149999169167
3.3489795918367347,l4,12,19.28797035399475,9.68884776099003,9.589386910003668,0.0036454399960348383,0.004145968989178073
3.7551020408163267,l2,13,21.01669000201946,10.565193553004065,10.439964858007443,0.004370472001028247,0.005054052984633017
3.7551020408163267,l4,13,21.054982419002044,10.523250215024746,10.520146738999756,0.004386122011055704,0.005084217002149671
4.161224489795918,l2,13,20.91767950200301,10.454381349998584,10.449977475007472,0.005342249998648185,0.0058879330099443905
4.161224489795918,l4,13,20.993213587003993,10.4557273019891,10.526485128997592,0.00418163399444893,0.0047198020038194954
4.5673469387755095,l2,14,22.581018631004554,11.295749101009278,11.273255230007635,0.004677608005295042,0.00509738198161358
4.5673469387755095,l4,14,22.632717462984147,11.333705220014963,11.284991171996808,0.005649391001497861,0.006070442010241095
4.9734693877551015,l2,14,22.611263172977488,11.394850801007124,11.203760832002445,0.00493530497624306,0.005415236999397166
4.9734693877551015,l4,14,22.67192920602247,11.219024490994343,11.440850222985318,0.004781072013429366,0.0050324359981459565
5.3795918367346935,l2,15,24.11713253902417,12.128645561992016,11.973453788006736,0.005972693987132516,0.006600155989872292
5.3795918367346935,l4,15,31.6026203450092,15.679311299994879,15.908303646021523,0.0061138250239309855,0.0063604570023017
5.785714285714285,l2,16,55.47336918801739,28.217348138998204,27.235738169001706,0.00841101999685634,0.008684629006893374
5.785714285714285,l4,16,38.51174997999624,19.181783240004734,19.311878104985226,0.007354196008236613,0.007744515998638235
6.191836734693877,l2,16,33.69604531901132,17.389195942007063,16.291355518987984,0.006272351980442181,0.00648015397018753
6.191836734693877,l4,16,40.332280935981544,19.635229006009467,20.679376419029722,0.007295889976376202,0.007435113999235909
6.597959183673469,l2,17,44.236165810987586,22.15052039301372,22.065333950988133,0.008366130001377314,0.008547375968191773
6.597959183673469,l4,17,40.63061381901207,21.120059748995118,19.49029278697708,0.008215357003791723,0.008682511986989994
7.004081632653061,l2,17,33.644998978983494,17.097358499006077,16.52915393299918,0.007742252004391048,0.00786559100379236
7.004081632653061,l4,17,34.69751180999447,17.095996018011647,17.58416127199598,0.007104385018465109,0.007262930004799273
7.410204081632653,l2,18,39.335790851007914,19.565760870013037,19.75048254100693,0.007621141994604841,0.008569023011659738
7.410204081632653,l4,18,40.135020043984696,20.103361566019885,20.0112303959977,0.007992366008693352,0.008820939023280516
7.816326530612244,l2,18,33.593496903988125,17.16399266001099,16.411424276026082,0.007455437982571311,0.007584028993733227
7.816326530612244,l4,18,37.23652270995808,18.672174075014482,18.54516914699343,0.007627762002812233,0.008387650981603656
8.222448979591837,l2,19,37.35820098100521,18.77230352699553,18.566169330020784,0.008043689987971447,0.008345205009391066
8.222448979591837,l4,19,45.73382026999752,23.178165181008808,22.53283639102301,0.009346221995656379,0.00984175499615958
8.628571428571428,l2,19,33.532735171982495,16.93895256599353,16.57458229702752,0.007930132014735136,0.008132219991239253
8.628571428571428,l4,19,43.743112235977605,21.435574339018785,22.288486637015012,0.007727350988716353,0.007979070018336643
9.03469387755102,l2,20,47.518548632033344,23.307903401000658,24.18848365998565,0.009385072007717099,0.0092339630209608
9.03469387755102,l4,20,42.58400644099311,21.2303080559941,21.333029061970592,0.008168867978383787,0.008977897989097983
9.440816326530612,l2,21,43.686498504990595,22.548420524020912,21.11700216101599,0.008846394019201398,0.008612238983914722
9.440816326530612,l4,21,42.11434814000677,21.15636491600162,20.93646159797936,0.00921370298601687,0.008718579018022865
9.846938775510203,l2,21,44.71923620902089,22.87095576201682,21.82592597301118,0.009313082984590437,0.009361714000988286
