execucao,ponto,z,n_max,j1,gn,gn1,ot,op
0,0.1,l2,4,6.279163792001782,3.0926079589989968,3.182472278989735,0.0015762819966766983,0.0018152070115320385
0,0.1,l4,4,6.911367122011143,3.408089435004513,3.498497683001915,0.0019699939875863492,0.0020124489965382963
0,10.049999999999999,l2,21,35.291971016995376,17.710778759952518,17.557293403006042,0.009816714009502903,0.010393338990979828
0,10.049999999999999,l4,21,33.14148181999917,16.58656119997613,16.533802761987317,0.009029501990880817,0.00868792796973139
0,20.0,l2,33,49.65686095702404,24.87005033197056,24.756123557963292,0.012516850008978508,0.012852435029344633
0,20.0,l4,33,49.507877762051066,24.686096153978724,24.792639799037715,0.01197331903676968,0.011958016038988717
