execucao,tempo
0,5539.199367212
1,5497.291236005001
2,5512.710624343001
3,5427.620925438001
4,5560.664969382
5,5497.171515664002
6,5483.756318225001
7,5511.897792274001
8,5532.031146365
9,5472.323702008995
